# time, M, E, An, r, v
0.000000, 0.000000, 0.000000, 2.000000, 5834.859802, 10.764139
1.000000, 0.005000, 0.016436, 0.006959, 5838.053251, 10.760667
2.000000, 0.010000, 0.032773, 0.013883, 5847.568979, 10.750337
3.000000, 0.015000, 0.048918, 0.020740, 5863.219951, 10.733398
4.000000, 0.020000, 0.064789, 0.027502, 5884.715590, 10.710237
5.000000, 0.025000, 0.080318, 0.034147, 5911.688563, 10.681342
6.000000, 0.030000, 0.095455, 0.040655, 5943.724322, 10.647265
7.000000, 0.035000, 0.110163, 0.047016, 5980.388796, 10.608579
8.000000, 0.040000, 0.124421, 0.053223, 6021.251235, 10.565856
9.000000, 0.045000, 0.138219, 0.059272, 6065.900908, 10.519637
10.000000, 0.050000, 0.151559, 0.065165, 6113.957821, 10.470423
11.000000, 0.055000, 0.164447, 0.070905, 6165.078381, 10.418664
12.000000, 0.060000, 0.176897, 0.076497, 6218.957256, 10.364761
13.000000, 0.065000, 0.188924, 0.081947, 6275.326650, 10.309064
14.000000, 0.070000, 0.200547, 0.087263, 6333.953992, 10.251875
15.000000, 0.075000, 0.211785, 0.092452, 6394.638779, 10.193455
16.000000, 0.080000, 0.222659, 0.097520, 6457.209110, 10.134027
17.000000, 0.085000, 0.233188, 0.102477, 6521.518204, 10.073781
18.000000, 0.090000, 0.243391, 0.107328, 6587.441140, 10.012879
19.000000, 0.095000, 0.253288, 0.112082, 6654.871869, 9.951458
20.000000, 0.100000, 0.262894, 0.116743, 6723.720569, 9.889636
21.000000, 0.105000, 0.272228, 0.121320, 6793.911332, 9.827510
22.000000, 0.110000, 0.281305, 0.125816, 6865.380162, 9.765164
23.000000, 0.115000, 0.290138, 0.130239, 6938.073253, 9.702670
24.000000, 0.120000, 0.298743, 0.134593, 7011.945531, 9.640087
25.000000, 0.125000, 0.307131, 0.138883, 7086.959398, 9.577467
26.000000, 0.130000, 0.315315, 0.143113, 7163.083676, 9.514853
27.000000, 0.135000, 0.323305, 0.147287, 7240.292709, 9.452282
28.000000, 0.140000, 0.331113, 0.151410, 7318.565596, 9.389783
29.000000, 0.145000, 0.338747, 0.155485, 7397.885544, 9.327385
30.000000, 0.150000, 0.346216, 0.159515, 7478.239317, 9.265107
31.000000, 0.155000, 0.353528, 0.163504, 7559.616764, 9.202970
32.000000, 0.160000, 0.360693, 0.167454, 7642.010423, 9.140989
33.000000, 0.165000, 0.367715, 0.171368, 7725.415175, 9.079177
34.000000, 0.170000, 0.374604, 0.175250, 7809.827952, 9.017544
35.000000, 0.175000, 0.381364, 0.179101, 7895.247486, 8.956100
36.000000, 0.180000, 0.388001, 0.182923, 7981.674091, 8.894851
37.000000, 0.185000, 0.394522, 0.186719, 8069.109476, 8.833805
38.000000, 0.190000, 0.400930, 0.190491, 8157.556587, 8.772966
39.000000, 0.195000, 0.407232, 0.194241, 8247.019462, 8.712337
40.000000, 0.200000, 0.413432, 0.197970, 8337.503113, 8.651921
41.000000, 0.205000, 0.419534, 0.201681, 8429.013418, 8.591721
42.000000, 0.210000, 0.425541, 0.205375, 8521.557029, 8.531739
43.000000, 0.215000, 0.431459, 0.209053, 8615.141288, 8.471974
44.000000, 0.220000, 0.437290, 0.212717, 8709.774158, 8.412428
45.000000, 0.225000, 0.443037, 0.216369, 8805.464159, 8.353100
46.000000, 0.230000, 0.448705, 0.220009, 8902.220312, 8.293990
47.000000, 0.235000, 0.454296, 0.223639, 9000.052086, 8.235099
48.000000, 0.240000, 0.459812, 0.227261, 9098.969358, 8.176424
49.000000, 0.245000, 0.465257, 0.230875, 9198.982368, 8.117964
50.000000, 0.250000, 0.470634, 0.234482, 9300.101686, 8.059719
51.000000, 0.255000, 0.475943, 0.238084, 9402.338179, 8.001688
52.000000, 0.260000, 0.481189, 0.241682, 9505.702978, 7.943867
53.000000, 0.265000, 0.486373, 0.245276, 9610.207453, 7.886257
54.000000, 0.270000, 0.491497, 0.248868, 9715.863188, 7.828855
55.000000, 0.275000, 0.496563, 0.252458, 9822.681955, 7.771659
56.000000, 0.280000, 0.501573, 0.256048, 9930.675694, 7.714668
57.000000, 0.285000, 0.506529, 0.259638, 10039.856489, 7.657879
58.000000, 0.290000, 0.511433, 0.263229, 10150.236555, 7.601291
59.000000, 0.295000, 0.516286, 0.266822, 10261.828210, 7.544902
60.000000, 0.300000, 0.521090, 0.270418, 10374.643863, 7.488710
61.000000, 0.305000, 0.525846, 0.274017, 10488.695996, 7.432713
62.000000, 0.310000, 0.530556, 0.277621, 10603.997144, 7.376909
63.000000, 0.315000, 0.535221, 0.281229, 10720.559880, 7.321296
64.000000, 0.320000, 0.539842, 0.284843, 10838.396798, 7.265872
65.000000, 0.325000, 0.544422, 0.288463, 10957.520496, 7.210636
66.000000, 0.330000, 0.548960, 0.292090, 11077.943560, 7.155585
67.000000, 0.335000, 0.553458, 0.295725, 11199.678547, 7.100718
68.000000, 0.340000, 0.557918, 0.299369, 11322.737968, 7.046033
69.000000, 0.345000, 0.562340, 0.303021, 11447.134272, 6.991528
70.000000, 0.350000, 0.566725, 0.306683, 11572.879826, 6.937202
71.000000, 0.355000, 0.571075, 0.310354, 11699.986901, 6.883053
72.000000, 0.360000, 0.575390, 0.314037, 11828.467651, 6.829078
73.000000, 0.365000, 0.579671, 0.317731, 11958.334096, 6.775278
74.000000, 0.370000, 0.583920, 0.321436, 12089.598101, 6.721649
75.000000, 0.375000, 0.588136, 0.325155, 12222.271360, 6.668191
76.000000, 0.380000, 0.592321, 0.328886, 12356.365373, 6.614903
77.000000, 0.385000, 0.596476, 0.332631, 12491.891424, 6.561782
78.000000, 0.390000, 0.600601, 0.336389, 12628.860564, 6.508827
79.000000, 0.395000, 0.604698, 0.340163, 12767.283582, 6.456038
80.000000, 0.400000, 0.608766, 0.343951, 12907.170991, 6.403413
81.000000, 0.405000, 0.612807, 0.347755, 13048.532993, 6.350951
82.000000, 0.410000, 0.616820, 0.351576, 13191.379466, 6.298650
83.000000, 0.415000, 0.620808, 0.355413, 13335.719928, 6.246510
84.000000, 0.420000, 0.624770, 0.359267, 13481.563517, 6.194529
85.000000, 0.425000, 0.628708, 0.363139, 13628.918962, 6.142707
86.000000, 0.430000, 0.632621, 0.367029, 13777.794552, 6.091043
87.000000, 0.435000, 0.636510, 0.370937, 13928.198113, 6.039536
88.000000, 0.440000, 0.640376, 0.374865, 14080.136967, 5.988184
89.000000, 0.445000, 0.644220, 0.378812, 14233.617912, 5.936988
90.000000, 0.450000, 0.648041, 0.382779, 14388.647181, 5.885947
91.000000, 0.455000, 0.651841, 0.386767, 14545.230411, 5.835060
92.000000, 0.460000, 0.655619, 0.390776, 14703.372610, 5.784327
93.000000, 0.465000, 0.659377, 0.394806, 14863.078117, 5.733746
94.000000, 0.470000, 0.663115, 0.398858, 15024.350569, 5.683319
95.000000, 0.475000, 0.666833, 0.402932, 15187.192857, 5.633044
96.000000, 0.480000, 0.670531, 0.407029, 15351.607092, 5.582920
97.000000, 0.485000, 0.674211, 0.411149, 15517.594561, 5.532949
98.000000, 0.490000, 0.677872, 0.415293, 15685.155686, 5.483129
99.000000, 0.495000, 0.681515, 0.419461, 15854.289979, 5.433461
100.000000, 0.500000, 0.685141, 0.423653, 16024.995999, 5.383945
101.000000, 0.505000, 0.688749, 0.427870, 16197.271306, 5.334581
102.000000, 0.510000, 0.692340, 0.432113, 16371.112412, 5.285368
103.000000, 0.515000, 0.695915, 0.436381, 16546.514735, 5.236307
104.000000, 0.520000, 0.699474, 0.440675, 16723.472548, 5.187399
105.000000, 0.525000, 0.703016, 0.444996, 16901.978930, 5.138644
106.000000, 0.530000, 0.706544, 0.449344, 17082.025711, 5.090041
107.000000, 0.535000, 0.710056, 0.453719, 17263.603421, 5.041593
108.000000, 0.540000, 0.713553, 0.458122, 17446.701237, 4.993299
109.000000, 0.545000, 0.717035, 0.462553, 17631.306923, 4.945160
110.000000, 0.550000, 0.720504, 0.467013, 17817.406779, 4.897177
111.000000, 0.555000, 0.723958, 0.471501, 18004.985583, 4.849351
112.000000, 0.560000, 0.727399, 0.476019, 18194.026527, 4.801683
113.000000, 0.565000, 0.730826, 0.480566, 18384.511167, 4.754174
114.000000, 0.570000, 0.734240, 0.485143, 18576.419356, 4.706825
115.000000, 0.575000, 0.737641, 0.489751, 18769.729187, 4.659638
116.000000, 0.580000, 0.741030, 0.494389, 18964.416929, 4.612614
117.000000, 0.585000, 0.744407, 0.499058, 19160.456972, 4.565754
118.000000, 0.590000, 0.747771, 0.503759, 19357.821756, 4.519060
119.000000, 0.595000, 0.751124, 0.508491, 19556.481716, 4.472534
120.000000, 0.600000, 0.754465, 0.513255, 19756.405219, 4.426178
121.000000, 0.605000, 0.757795, 0.518052, 19957.558496, 4.379994
122.000000, 0.610000, 0.761113, 0.522881, 20159.905590, 4.333984
123.000000, 0.615000, 0.764421, 0.527743, 20363.408283, 4.288151
124.000000, 0.620000, 0.767718, 0.532639, 20568.026046, 4.242496
125.000000, 0.625000, 0.771005, 0.537567, 20773.715971, 4.197023
126.000000, 0.630000, 0.774282, 0.542530, 20980.432714, 4.151734
127.000000, 0.635000, 0.777548, 0.547527, 21188.128440, 4.106632
128.000000, 0.640000, 0.780805, 0.552557, 21396.752762, 4.061720
129.000000, 0.645000, 0.784053, 0.557623, 21606.252688, 4.017003
130.000000, 0.650000, 0.787291, 0.562723, 21816.572568, 3.972482
131.000000, 0.655000, 0.790519, 0.567857, 22027.654044, 3.928162
132.000000, 0.660000, 0.793739, 0.573027, 22239.435998, 3.884046
133.000000, 0.665000, 0.796950, 0.578233, 22451.854513, 3.840140
134.000000, 0.670000, 0.800153, 0.583474, 22664.842823, 3.796446
135.000000, 0.675000, 0.803347, 0.588750, 22878.331280, 3.752970
136.000000, 0.680000, 0.806533, 0.594062, 23092.247314, 3.709716
137.000000, 0.685000, 0.809711, 0.599411, 23306.515405, 3.666689
138.000000, 0.690000, 0.812881, 0.604795, 23521.057057, 3.623895
139.000000, 0.695000, 0.816043, 0.610215, 23735.790770, 3.581340
140.000000, 0.700000, 0.819198, 0.615672, 23950.632029, 3.539028
141.000000, 0.705000, 0.822345, 0.621165, 24165.493291, 3.496966
142.000000, 0.710000, 0.825485, 0.626695, 24380.283978, 3.455161
